"Facility ID","Lust ID","Confirmed Release","Cleanup Complete","Enforcement Effective","Enforcement Termination",Ec,Delete
1-110616,633,03/26/1996,12/17/1996, , ,No,
1-110618,176,06/05/1996,07/06/1998, , ,No,
1-110619,2172,05/04/2012,10/19/2012, , ,No,
1-280004,1265,05/18/1999,12/31/2002,05/18/1999, ,No,
1-280009,1698,04/22/2008,06/01/2009,04/22/2008,07/21/2009,Yes,
1-280019,2406,06/16/2023,11/29/2023,06/16/2023,11/29/2023,No,
1-280021,769,01/29/1991,03/03/1993, , ,No,
1-280023,775,10/16/1995,02/06/1996, , ,No,
1-280023,2171,06/15/2012,10/01/2012, , ,No,
1-280024,776,06/01/1990,03/09/1994, , ,No,
1-280025,777,07/12/1990,09/06/1990, , ,No,
1-280028,778,02/18/1993,06/09/1993, , ,No,
1-280031,779,04/16/1991,04/05/1993, , ,No,
1-280032,780,06/09/1992,06/27/1994, , ,No,
1-280033,781,05/12/1993,06/23/1993, , ,No,
1-280035,2031,10/20/2011,05/22/2017,10/20/2011,05/22/2017,Yes,
1-280035,2233,07/26/2012,05/22/2017,07/26/2012,05/22/2017,Yes,
1-280036,1084,01/19/1999,01/27/2005, , ,No,
1-280043,782,09/21/1989,09/21/1990, , ,No,
1-280044,105,10/21/1994,10/16/2003, , ,No,
1-280047,637,05/10/1990,11/05/1992, , ,No,
1-280056,638,02/18/1993,02/22/1996, , ,No,
1-280058,639,07/20/1989,04/19/1993, , ,No,
1-280062,640,09/17/1992,01/12/1994, , ,No,
1-280065,5,01/16/2006,08/21/2007,12/05/2006, ,No,
1-280065,106,07/06/1990,06/07/2004, , ,No,
1-280068,641,08/12/1992,10/13/1994, , ,No,
1-280069,770,01/05/1990,03/15/1990, , ,No,
1-280076,1604,12/05/2008,11/20/2009, , ,No,
1-280076,2304,05/04/2017,09/14/2017,05/04/2017,09/14/2017,No,
1-280077,1743,12/17/2009,08/27/2012, , ,No,
1-280079,642,03/18/1993,07/01/1993, , ,No,
1-280087,643,06/25/1991,08/02/1993, , ,No,
1-280088,644,03/03/1992,10/06/1993, , ,No,
1-280093,645,02/28/1991,10/21/1992, , ,No,
1-280094,646,03/21/1990,03/15/1991, , ,No,
1-280095,647,11/04/1991,03/01/1994, , ,No,
1-280096,648,08/15/1990,09/28/1990, , ,No,
1-280105,1269,08/11/1999,04/10/2000,08/17/1999, ,No,
1-280106,649,05/25/1995,11/06/1996, , ,No,
1-280109,650,01/26/1995,08/22/1995, , ,No,
1-280118,651,03/01/1990,08/08/1990, , ,No,
1-280128,108,08/04/1994,07/15/1998, , ,No,
1-280133,652,01/11/1991,05/10/1991, , ,No,
1-280135,653,05/25/1989,08/18/1993, , ,No,
1-280136,107,10/06/1997,04/30/1998, , ,No,
1-280139,109,02/10/1997,04/16/1998,01/08/1998,04/16/1998,No,
1-280139,1305,09/02/1999,01/29/2001,09/02/1999, ,No,
1-280139,2247,06/14/2013,07/21/2016,06/14/2013,07/21/2016,No,
1-280140,1117,04/01/2003,08/19/2004,04/01/2003, ,No,
1-280141,654,03/31/1992,02/10/1994, , ,No,
1-280143,655,03/17/1992,01/06/1993, , ,No,
1-280145,656,11/01/1991,02/24/1993, , ,No,
1-280155,1007,07/19/1990,03/28/1991, , ,No,
1-280157,169,02/26/1997,04/28/2004, , ,No,
1-280163,657,03/07/1996,12/03/1997, , ,No,
1-280165,2410,05/03/2023,08/10/2023,05/03/2023,08/10/2023,No,
1-280174,658,12/07/1989,11/22/1993, , ,No,
1-280177,659,06/19/1982,11/08/1991, , ,No,
1-280199,660,06/05/1990,12/23/1994, , ,No,
1-280201,771,06/05/1990,04/15/1994, , ,No,
1-280203,661,10/18/1988,01/01/1989, , ,No,
1-280209,662,03/05/1992,03/05/1992, , ,No,
1-280221,773,10/17/1990,04/15/1993, , ,No,
1-280226,663,04/01/1990,06/19/1995, , ,No,
1-280601,664,03/01/1990,10/01/1992, , ,No,
1-280607,665,08/17/1993,11/17/1993, , ,No,
1-280610,2091,11/03/2011,02/26/2013, , ,No,
1-280626,666,05/11/1993,04/29/1994, , ,No,
1-280629,667,05/27/1993,07/22/1996, , ,No,
1-280630,668,05/02/1991,08/08/1991, , ,No,
1-280636,669,12/03/1992,06/27/1994, , ,No,
1-280649,774,09/27/1989,06/15/1993, , ,No,
1-280650,670,01/27/1994,12/22/1995, , ,No,
1-280650,2300,08/13/2013,08/23/2019,08/13/2013,08/23/2019,No,
1-280651,1324,03/03/2005,08/02/2005, , ,No,
1-280658,772,12/23/1990,03/15/1994, , ,No,
1-280658,1171,10/05/1998,04/06/1999, , ,No,
1-280658,2407,08/03/2023,01/17/2024,08/03/2023,01/17/2024,No,
1-280666,671,07/14/1994,07/25/1994, , ,No,
1-280672,672,06/28/1995,11/20/1995, , ,No,
1-280683,847,08/18/1997,08/20/1997, , ,No,
1-280693,1003,02/02/1998,04/30/1998, , ,No,
1-280694,2331,09/11/2018,12/08/2020,09/11/2018,12/08/2020,No,
1-280696,1009,04/15/1985,11/16/1998, , ,No,
1-280698,1010,02/12/1993,08/06/1993, , ,No,
1-280699,1011,10/01/1991,12/22/1993, , ,No,
1-280704,1063,04/14/1992,03/01/1994, , ,No,
1-280720,1153,08/01/2000,08/01/2000, , ,No,
1-400005,1233,06/13/2001,08/01/2005,06/13/2001, ,No,
1-400013,792,08/12/1991,11/17/1993, , ,No,
1-400015,787,10/23/1990,07/16/1992, , ,No,
1-400017,793,06/08/1993,07/03/1995, , ,No,
1-400020,2369,10/13/2020,05/27/2021,10/13/2020,05/27/2021,No,
1-400024,794,11/19/1991,11/27/1991, , ,No,
1-400025,795,11/27/1991,12/01/1992, , ,No,
1-400028,790,10/27/1989,11/17/1993, , ,No,
1-400028,796,12/15/1989,10/14/1993, , ,No,
1-400035,797,10/13/1994,09/15/1997, , ,No,
1-400037,798,10/21/1991,05/25/1994, , ,No,
1-400038,799,09/23/1992,12/03/1992, , ,No,
1-400040,1057,09/14/1998,11/10/1998, , ,No,
1-400043,1708,09/01/2009,08/16/2010, , ,No,
1-400043,2425,09/10/2024, ,10/01/2024, ,No,
1-400044,1089,10/27/1998,12/18/1998, , ,No,
1-400051,800,03/20/1992,07/19/1995, , ,No,
1-400053,838,11/03/1987,03/16/1993, , ,No,
1-400059,788,11/01/1984,09/06/1995, , ,No,
1-400059,2408,08/07/2023,12/16/2024,08/07/2023,12/16/2024,No,
1-400060,1603,11/20/2008,05/15/2009, , ,No,
1-400064,839,10/02/1991,06/23/1993, , ,No,
1-400065,840,08/29/1990,04/23/1993, , ,No,
1-400600,841,02/22/1993,12/23/1993, , ,No,
1-400600,1291,12/16/1999,04/26/2000,12/16/1999, ,No,
1-400601,842,11/08/1991,11/22/1993, , ,No,
1-400602,843,09/30/1991,12/23/1991, , ,No,
1-400604,844,09/17/1991,01/31/1992, , ,No,
1-400610,1266,09/22/1998,12/31/2002,02/18/1999, ,No,
1-400612,845,04/07/1993,04/06/1994, , ,No,
1-400614,791,01/26/1994,11/22/1994, , ,No,
1-400616,789,09/14/1992,05/24/1993, , ,No,
1-400622,846,08/04/1994,11/23/1994, , ,No,
1-400623,144,08/11/1994,06/30/2000,11/27/1996,06/30/2000,No,
1-400625,145,12/24/1996,01/12/2001, , ,No,
1-400626,970,04/01/1998,04/03/2001, , ,No,
1-400628,1060,05/20/1993,06/17/1993, , ,No,
1-400629,1328,04/07/2005,04/16/2007,12/05/2006, ,No,
2-180601,1193,10/29/1999,11/05/1999, , ,No,
2-180611,961,10/28/1991,06/03/1996, , ,No,
2-180613,1748,12/30/2009,03/15/2017,12/30/2009,03/15/2017,Yes,
2-250003,2360,05/12/2020,09/02/2021,05/12/2020,09/02/2021,No,
2-250005,1195,12/28/1998,09/16/1999, , ,No,
2-250008,2232,09/30/2011,08/13/2024,09/30/2011,08/13/2024,Yes,
2-250013,740,06/30/1992,06/30/1992, , ,No,
2-250022,741,07/31/1997,08/08/1997, , ,No,
2-250035,742,06/30/1992,07/30/1992, , ,No,
2-250042,743,06/08/1995,08/30/1995, , ,No,
2-250044,1196,11/16/1999,11/16/1999, , ,No,
2-250048,869,07/20/1998,09/01/1998, , ,No,
2-250069,744,06/30/1992,06/30/1992, , ,No,
2-250072,997,06/30/1992,08/30/1992, , ,No,
2-250083,962,04/29/1996,09/16/1997, , ,No,
2-250087,738,06/30/1992,06/30/1992, , ,No,
2-250091,745,07/08/1993,10/15/1993, , ,No,
2-250095,1059,08/22/1998,08/22/1998, , ,No,
2-250099,746,05/04/1994,06/15/1994, , ,No,
2-250612,1192,12/09/1997,01/28/2001, , ,No,
2-250614,101,11/18/1997,05/05/1998, , ,No,
2-250618,960,06/30/1992,10/30/2001, , ,No,
2-250625,1728,11/10/2009,07/15/2010, , ,No,
2-250630,2362,06/04/2020,11/18/2021,07/23/2020,11/18/2021,Yes,
2-290005,111,06/30/1992,06/01/2001, , ,No,
2-290014,675,09/03/1993,02/01/1994, , ,No,
2-290016,112,09/08/1995,12/19/2001, , ,No,
2-290021,676,06/30/1992,03/01/1993, , ,No,
2-290026,677,06/30/1992,06/30/1992, , ,No,
2-290030,2253,01/01/1999,04/19/2002,01/01/1999,04/19/2002,No,
2-290030,2275,12/01/2013,08/03/2016,12/12/2013,08/03/2016,Yes,
2-290032,110,05/15/1993,07/01/2002, , ,No,
2-290038,113,10/26/1992,10/24/2014,11/21/2006, ,No,
2-290041,1030,06/09/1998,03/14/2001, , ,No,
2-290049,678,06/30/1992,01/09/1997, , ,No,
2-290053,114,06/30/1992,04/25/2001,06/09/1998,06/04/2001,No,
2-290053,1648,03/19/2009,02/15/2022,04/22/2010,03/03/2022,Yes,
2-290055,1598,07/09/2008,06/08/2018,07/10/2008,06/08/2018,Yes,
2-290056,116,06/04/1996,02/03/1998, , ,No,
2-290059,119,06/30/1992,01/15/1997, , ,No,
2-290059,679,06/30/1992,06/30/1992, , ,No,
2-290064,680,05/18/1989,02/11/2022, , ,No,
2-290064,2342,05/28/2019,02/11/2022,05/28/2019,02/11/2022,No,
2-290066,115,02/01/1993,02/26/2002, , ,No,
2-290071,681,06/30/1992,05/30/1997, , ,No,
2-290080,117,10/30/1990,08/27/2004,10/30/1990,08/27/2004,Yes,
2-290090,118,06/30/1992,11/02/2001, , ,No,
2-290097,120,06/30/1992,07/11/2001, , ,No,
2-290098,682,06/30/1992,06/30/1992, , ,No,
2-290600,1436,01/01/2002, ,10/16/2024, ,No,
2-290600,1851,01/13/2011, ,10/16/2024, ,No,
2-290601,121,12/06/1995,10/23/2001, , ,No,
2-290602,122,08/01/1995,09/10/2001, , ,No,
2-290605,674,06/30/1992,06/30/1994, , ,No,
2-290608,934,01/20/1994,05/01/1995, , ,No,
2-290609,683,08/01/1995,12/26/2000, , ,No,
2-290619,673,01/28/1994,08/31/1994, , ,No,
2-290626,964,06/30/1992,10/03/1996, , ,No,
2-290627,963,06/30/1991,06/30/1991, , ,No,
2-290628,1170,08/04/1998,08/21/1998, , ,No,
2-290630,1191,12/16/1998,12/16/1998, , ,No,
2-290631,1204,07/29/1998,04/02/2001,07/30/1998, ,No,
2-290632,1653,04/27/2009,09/30/2011, , ,No,
2-290636,2054,01/01/2011,01/13/2016,01/01/2011,01/13/2016,Yes,
2-290644,2287,05/25/2016,07/10/2019,05/25/2016,07/10/2019,Yes,
2-350005,276,05/01/1992,05/01/1992, , ,No,
2-350034,279,12/03/1992,12/30/1993, , ,No,
2-350036,280,04/26/1996,04/26/1996, , ,No,
2-350038,130,06/30/1992,09/02/1998, , ,No,
2-350038,2319,05/07/2018,10/03/2019,05/07/2018,10/03/2019,No,
2-350043,2053,01/03/2011,11/07/2011,01/03/2011,11/07/2011,No,
2-350043,2292,03/10/2016, ,08/10/2023, ,No,
2-350043,2384,11/02/2021, ,08/10/2023, ,No,
2-350043,2385,11/02/2021, ,08/10/2023, ,No,
2-350044,131,06/30/1992,07/11/2001, , ,No,
2-350044,2358,04/07/2020, ,04/07/2020, ,No,
2-350050,1414,05/01/2007,01/15/2016,11/19/2009,11/13/2015,Yes,
2-350053,1432,11/01/2007,05/31/2008,10/23/2007, ,No,
2-350054,1142,04/15/2004,04/15/2004,04/15/2004, ,No,
2-350068,281,05/02/1991,10/29/1996, , ,No,
2-350069,282,06/30/1992,03/05/1996, , ,No,
2-350070,702,10/06/1994,10/06/1994, , ,No,
2-350070,704,11/13/1996,11/20/1996, , ,No,
2-350071,701,06/30/1992,06/30/1992, , ,No,
2-350073,703,09/21/1992,03/01/1993, , ,No,
2-350087,1197,11/12/1998,12/01/1998, , ,No,
2-350110,705,06/30/1992,06/30/1992, , ,No,
2-350132,1834,08/12/2010,11/21/2012,08/12/2010, ,No,
2-350143,706,10/01/1992,10/01/1992, , ,No,
2-350163,707,06/30/1992,03/01/1993, , ,No,
2-350165,2052,06/06/2011, ,09/01/2011, ,No,
2-350165,2382,10/13/2021,01/20/2022,10/13/2021,01/20/2022,No,
2-350170,1182,12/31/1998,01/05/1999, , ,No,
2-350603,933,06/30/1992,07/10/2001, , ,No,
2-350615,708,08/09/1994,08/09/1994, , ,No,
2-350616,277,11/10/1994,05/01/1995, , ,No,
2-350617,278,09/01/1995,09/05/1995, , ,No,
2-350624,1190,10/29/1998,11/05/1998, , ,No,
2-350629,1381,09/19/2006, ,09/17/2010, ,No,
2-350631,2350,10/16/2019,01/23/2020,10/16/2019,01/23/2020,No,
3-010007,350,02/23/1990,03/01/1993, , ,No,
3-010007,1078,11/17/1998,03/04/1999, , ,No,
3-010008,351,06/30/1992,10/01/1992, , ,No,
3-010016,354,11/29/1989,03/01/1993, , ,No,
3-010017,1110,11/18/2002,02/11/2016,06/25/2003, ,No,
3-010017,1799,04/22/2010,02/11/2016,06/25/2003, ,No,
3-010017,2151,04/30/2012,02/11/2016,06/25/2003, ,No,
3-010018,355,02/01/1993,12/01/1993, , ,No,
3-010019,1323,04/13/2005,06/24/2005, , ,No,
3-010021,1155,11/12/1998,02/05/1999, , ,No,
3-010023,9,08/17/1997,02/27/1998, , ,No,
3-010025,293,04/12/1988,03/01/1993, , ,No,
3-010025,1209,05/10/2001,02/26/2002,05/10/2001, ,No,
3-010027,1286,12/02/1999,06/06/2002,12/14/1999, ,No,
3-010030,356,06/30/1992,06/30/1992, , ,No,
3-010035,357,11/29/1991,06/30/1992, , ,No,
3-010036,1081,10/30/1998,03/12/2002, , ,No,
3-010036,2246,03/09/1992,11/06/1992, , ,No,
3-010036,2313,12/26/2017,01/27/2022,12/26/2017,01/27/2022,No,
3-010038,11,08/11/1997,05/06/2003,05/06/2003, ,No,
3-010040,16,04/26/1991,09/15/1999, , ,No,
3-010040,249,07/01/1993,04/01/1997, , ,No,
3-010040,1075,12/08/1998,06/03/1999,12/08/1998, ,No,
3-010042,2245,02/13/1991,06/25/1991, , ,No,
3-010044,7,03/19/1997,09/11/2001, , ,No,
3-010045,1361,06/14/2006,03/24/2017,06/14/2006,03/24/2017,Yes,
3-010046,20,10/27/1994,08/02/2000, , ,No,
3-010047,1738,11/05/2009,10/21/2011,11/11/2009,10/21/2011,Yes,
3-010048,2391,01/18/2022,11/03/2022,01/18/2022,11/03/2022,No,
3-010050,295,06/01/1993,10/01/1993, , ,No,
3-010051,1380,09/27/2006,07/19/2016,05/10/2007,09/08/2016,No,
3-010051,2274,12/02/2015,07/19/2016,05/10/2007,09/08/2016,No,
3-010053,1325,06/22/2005,10/05/2009,04/25/2006, ,No,
3-010054,236,09/20/1993,10/05/1993, , ,No,
3-010058,291,11/12/1991,01/21/1992, , ,No,
3-010059,10,12/03/1997,05/12/1998, , ,No,
3-010060,294,01/01/1993,03/23/1995, , ,No,
3-010069,307,11/13/1996,11/13/1996, , ,No,
3-010070,292,04/22/1991,03/01/1993, , ,No,
3-010072,241,05/01/1993,11/10/1999, , ,No,
3-010073,242,11/12/1991,06/01/1996, , ,No,
3-010074,243,11/04/1991,06/30/1992, , ,No,
3-010075,1027,05/18/1998,01/12/2004, , ,No,
3-010076,244,03/31/1995,11/20/1997, , ,No,
3-010077,245,08/15/1990,03/01/1993, , ,No,
3-010078,15,02/07/1992,03/08/1999, , ,No,
3-010078,2379,02/01/1997,08/01/1998, , ,No,
3-010079,246,05/01/1995,05/01/1995, , ,No,
3-010079,1173,07/16/1991,04/21/2009, , ,No,
3-010080,247,10/01/1996,10/01/1996, , ,No,
3-010084,250,12/03/1993,03/01/1994, , ,No,
3-010085,290,07/10/1991,06/30/1992, , ,No,
3-010094,349,02/14/1990,06/30/1992, , ,No,
3-010096,1239,05/30/2001,02/09/2002,05/30/2001, ,No,
3-010103,353,05/21/1997,07/16/1997, , ,No,
3-010104,950,12/01/1992,04/01/1995, , ,No,
3-010105,301,10/25/1994,11/05/1994, , ,No,
3-010105,1329,08/26/2005,10/20/2005,10/20/2005, ,No,
3-010106,1264,05/04/1999,07/23/1999, , ,No,
3-010109,299,06/30/1992,08/01/1995, , ,No,
3-010109,300,06/30/1992,06/30/1992, , ,No,
3-010111,302,12/20/1988,09/01/1994, , ,No,
3-010112,1022,05/22/1998,10/19/1998, , ,No,
3-010113,8,11/19/1997,01/14/1998, , ,No,
3-010115,1277,10/23/1999,10/23/2003, , ,No,
3-010117,2255,09/13/1993,12/24/2002, , ,No,
3-010118,21,05/08/1997,12/24/2002, , ,No,
3-010119,305,06/30/1992,11/01/1992, , ,No,
3-010121,22,09/06/1995,02/21/2003, , ,No,
3-010122,1246,02/26/2002,09/17/2004,03/05/2002, ,No,
3-010128,309,04/08/1996,06/25/1996, , ,No,
3-010128,1023,06/09/1998,03/02/1999, , ,No,
3-010129,310,06/30/1992,06/30/1992, , ,No,
3-010131,358,06/30/1992,06/30/1992, , ,No,
3-010132,311,06/30/1992,06/30/1992, , ,No,
3-010133,312,09/09/1992,03/01/1993, , ,No,
3-010135,1080,11/16/1998,09/28/2015,12/08/2006, ,No,
3-010135,1315,04/30/2002,09/28/2015,12/08/2006, ,No,
3-010136,303,03/25/1994,08/12/1994, , ,No,
